date,Trump,Clinton
01-10-2016,-0.1,-0.4
02-10-2016,-0.29,-0.36
03-10-2016,-0.27,-0.48
04-10-2016,-0.24,-0.22
05-10-2016,-0.02,-0.37
06-10-2016,-0.12,-0.54
07-10-2016,-0.39,-0.42
08-10-2016,-0.27,0.12
09-10-2016,-0.25,-0.28
10-10-2016,-0.19,-0.42
11-10-2016,0.1,-0.47
12-10-2016,-0.09,-0.39
13-10-2016,-0.29,-0.33
14-10-2016,-0.17,-0.21
15-10-2016,-0.16,-0.49
16-10-2016,0.07,-0.42
17-10-2016,-0.13,-0.13
18-10-2016,-0.26,-0.25
19-10-2016,-0.31,-0.38
20-10-2016,-0.18,-0.18
21-10-2016,-0.09,0.45
22-10-2016,-0.19,-0.06
23-10-2016,-0.02,-0.02
24-10-2016,-0.02,-0.38
25-10-2016,-0.07,-0.4
26-10-2016,-0.11,0.33
27-10-2016,0.08,-0.37
28-10-2016,0.05,-0.46
29-10-2016,0.3,-0.38
30-10-2016,0.32,-0.37
31-10-2016,0.04,-0.46
01-11-2016,0.1,-0.38
02-11-2016,-0.13,-0.48
03-11-2016,0.72,-0.01
04-11-2016,0.61,0.02
05-11-2016,0.63,0.02
06-11-2016,0.66,0.2
07-11-2016,0.69,0.4
08-11-2016,0.82,0.5
